problem,landmarks,achieved,agreement ratio
discrete-0,62,11,0.18
discrete-1,129,28,0.22
discrete-2,190,35,0.18
discrete-3,252,49,0.19
discrete-4,311,53,0.17
discrete-5,380,74,0.19
discrete-6,441,81,0.18
discrete-7,508,94,0.19
discrete-8,569,104,0.18
discrete-9,635,123,0.19
