problem,search.method,plan.length,metric.search,initial.heuristic.val,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,dead.ends,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events,type
instance-_1229,hmax,399,399.0,394,1009,247,408,33,418,4144,891,0,farmland,0,6,28,0,0,continuous
instance-_1229,hrmax,284,284.0,283,859,23,78,50,285,572,561,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmax,113,113.0,109,952,109,282,33,119,1178,245,0,farmland,0,6,28,0,0,continuous
instance-_1229,hrmax,224,224.0,217,1409,364,745,37,284,4060,917,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmrp,113,113.0,113,835,108,199,46,114,1351,219,0,farmland,0,6,28,0,0,continuous
instance-_1229,hrmax,515,515.0,511,1116,228,451,42,516,3097,1023,0,farmland,0,4,16,0,0,continuous
instance-_1229,hmrp,522,522.0,514,2076,1254,1420,51,775,13076,3503,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmrp,569,569.0,569,880,96,195,46,570,1142,1131,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmrp,572,572.0,571,1267,109,244,36,573,3437,1137,0,farmland,0,4,16,0,0,continuous
instance-_1229,hrmax,313,313.0,306,1458,661,826,44,398,5671,1325,0,farmland,0,8,40,0,0,continuous
instance-_1229,hrmax,183,183.0,165,3083,2176,2394,56,2381,29607,26957,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmrp,286,286.0,286,1068,200,437,41,287,2285,565,0,farmland,0,4,16,0,0,continuous
instance-_1229,hmrp,171,171.0,170,1100,120,202,37,173,1730,340,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,47,47.0,39,865,137,220,37,90,1286,354,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmrp,56,56.0,55,802,82,118,50,57,566,105,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmrp,579,579.0,571,2613,1052,1364,81,772,13010,2975,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmrp,398,398.0,398,884,52,247,34,399,800,789,0,farmland,0,2,4,0,0,continuous
instance-_1229,hrmax,572,572.0,568,986,134,350,41,573,3439,1137,0,farmland,0,4,16,0,0,continuous
instance-_1229,hrmax,135,135.0,129,1352,454,702,44,186,2675,621,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,513,513.0,509,1339,204,319,49,527,5244,1088,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmrp,343,343.0,343,934,212,333,30,344,2741,679,0,farmland,0,4,16,0,0,continuous
instance-_1229,hrmax,341,341.0,340,673,24,81,44,342,686,675,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmrp,228,228.0,227,1173,135,447,44,230,2301,454,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,402,402.0,394,1797,428,650,63,531,7559,1941,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,447,447.0,439,1781,294,574,42,636,8904,2535,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,352,352.0,335,2355,1345,1655,57,1676,18374,16455,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmrp,293,293.0,285,2176,466,706,61,487,8410,2391,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmax,69,69.0,50,1146,332,447,54,630,8113,5202,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmax,515,515.0,511,1224,228,435,53,518,3105,1033,0,farmland,0,4,16,0,0,continuous
instance-_1229,hmax,228,228.0,223,885,124,262,57,233,2325,471,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,455,455.0,454,873,28,146,58,456,914,903,0,farmland,0,2,4,0,0,continuous
instance-_1229,hrmax,342,342.0,339,1117,212,482,43,344,3435,682,0,farmland,0,6,28,0,0,continuous
instance-_1229,hrmax,569,569.0,568,993,56,237,49,570,1142,1131,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmax,172,172.0,168,1078,78,148,59,174,1043,341,0,farmland,0,4,16,0,0,continuous
instance-_1229,hmrp,284,284.0,284,676,46,88,28,285,572,561,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmax,284,284.0,283,723,60,136,34,285,572,561,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmrp,135,135.0,132,1116,311,416,71,138,2461,275,0,farmland,0,8,40,0,0,continuous
instance-_1229,hrmax,239,239.0,222,2335,953,1679,62,824,10322,6428,0,farmland,0,10,52,0,0,continuous
instance-_1229,hrmax,285,285.0,281,1026,319,417,35,287,2869,567,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,409,409.0,392,1656,835,976,38,1339,15063,10850,0,farmland,0,10,52,0,0,continuous
instance-_1229,hrmax,455,455.0,454,662,27,87,29,456,914,903,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmax,458,458.0,454,1150,273,378,37,461,2763,919,0,farmland,0,4,16,0,0,continuous
instance-_1229,hmrp,268,268.0,266,1384,607,711,44,272,4878,540,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,180,180.0,172,1105,235,403,82,332,4502,1699,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,341,341.0,340,716,44,138,29,342,686,675,0,farmland,0,2,4,0,0,continuous
instance-_1229,hmax,358,358.0,350,1237,319,592,55,476,6762,1726,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmrp,124,124.0,114,2225,883,1001,178,249,4479,1261,0,farmland,0,10,52,0,0,continuous
instance-_1229,hrmax,172,172.0,168,796,67,150,62,173,1039,337,0,farmland,0,4,16,0,0,continuous
instance-_1229,hrmax,270,270.0,262,1215,424,593,35,329,4741,970,0,farmland,0,8,40,0,0,continuous
instance-_1229,hmax,227,227.0,226,710,38,96,37,228,458,447,0,farmland,0,2,4,0,0,continuous
instance-_1229,hrmax,446,446.0,440,1384,680,779,38,611,8385,2464,0,farmland,0,8,40,0,0,continuous
instance-_1229,hrmax,400,400.0,397,725,79,145,30,401,2403,793,0,farmland,0,4,16,0,0,continuous
instance-_1229,hrmax,399,399.0,396,1138,247,526,47,401,4002,795,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmrp,115,115.0,114,921,84,293,37,116,695,223,0,farmland,0,4,16,0,0,continuous
