problem,search.method,plan.length,metric.search,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
p0,opt,186,0.0,153,14,27,11,372,983,1253,continuous,6,10,16,0,0
p5,opt-hrmax,1116,0.0,1260,994,1108,15,2232,41785,38591,continuous,36,60,96,0,0
p6,sas,1305,0.0,2018,1698,1863,16,2610,65771,51704,continuous,45,70,115,0,0
p6,lm_opt,1305,0.0,2017,1661,1854,16,2610,65771,51704,continuous,45,70,115,0,0
p2,sat-hmrph,560,0.0,1628,1239,1297,52,1120,20901,559,discrete,203,0,203,0,0
p6,sat-hradd,1595,0.0,8815,7680,8103,60,3191,107501,57376,discrete,486,0,487,0,0
p9,sat-hadd,2297,0.0,23745,21725,22642,66,4595,197236,124119,discrete,706,0,706,0,0
p3,sat-hmrph,746,0.0,3594,3061,3173,58,1492,36651,745,discrete,283,0,283,0,0
p3,sat-hmrp,923,0.0,3090,2545,2656,57,1846,33039,20785,discrete,283,0,283,0,0
p4,sat-hadd,1166,0.0,4356,3646,3837,60,2333,65039,29550,discrete,383,0,385,0,0
p4,sat-haddabs,1166,0.0,4343,3623,3813,59,2333,65039,29550,discrete,383,0,385,0,0
p7,sat-hradd,1815,0.0,13762,12420,12942,62,3631,153531,74054,discrete,557,0,557,0,0
p7,sas,1815,0.0,13613,12263,12778,65,3631,153531,74054,discrete,557,0,557,0,0
p1,opt,446,0.0,389,125,144,28,893,5280,6529,discrete,135,0,135,0,0
p8,opt-hmax,2084,0.0,21422,19786,20452,65,4169,193594,99857,discrete,653,0,653,0,0
p4,sat-hradd,1166,0.0,4425,3656,3840,60,2333,65039,29550,discrete,383,0,385,0,0
p5,opt-hmax,1373,0.0,5283,4465,4686,55,2747,72003,42412,discrete,423,0,423,0,0
p1,lm_opt,446,0.0,391,123,143,28,893,5280,6529,discrete,135,0,135,0,0
p0,sat-hmrph,186,0.0,275,64,76,23,372,1831,185,discrete,67,0,67,0,0
p5,sat-hradd,1373,0.0,5257,4426,4669,55,2747,72003,42412,discrete,423,0,423,0,0
p5,opt,1373,0.0,5268,4417,4672,53,2747,72003,42412,discrete,423,0,423,0,0
p3,sas,923,0.0,1807,1274,1366,57,1846,33039,20785,discrete,283,0,283,0,0
